Planet name,Host star name,Stars in system,Planets in system,Discovery method,Discovery year,Discovery facility,Orbital period (days),Orbit semi-major axis (AU),Planet radius (R_E),Planet radius (R_J),Planet mass (M_E),Planet temperature (K),Stellar spectral class,Stellar temperature (K),Stellar radius (R_sol),Stellar mass (M_sol),Right ascension (deg),Declination (Deg),Stellar distance (pc),Stellar magnitude,releasedate
HD 235088 b,HD 235088,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),7.4341456,,1.97737,0.17640944,,733,,5064,0.78,,300.6154535,53.3774418,41.1706,9.19,2024-11-20
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,1561,2.772,,,2450.37,,F8 V,5904,,1.159,57.0018601,40.5307308,52.0018,7.26122,2014-05-14
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,1561,2.77,,,2870.0049,,,6040,1.53,1.47,57.0018601,40.5307308,52.0018,7.26122,2018-09-06
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,1535.11912,2.694,,,3786.607641,,,,,1.1,57.0018601,40.5307308,52.0018,7.26122,2023-06-12
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,1570,2.901,,,4640.2947422,,F8,6125,,1.32,57.0018601,40.5307308,52.0018,7.26122,2023-06-12
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,1565,2.88,,,2574.423,,,5982,1.57785,1.1,57.0018601,40.5307308,52.0018,7.26122,2015-04-24
HD 238090 b,HD 238090,1,1,Radial Velocity,2020,Multiple Observatories,13.671,0.0932,,,6.89,469.6,M0.0 V,3933,0.57,0.578,183.0886375,54.486153,15.2354,9.71,2021-03-04
HD 238914 b,HD 238914,1,1,Radial Velocity,2018,Multiple Observatories,4100,5.7,,,1906.98,,,4769,12.73,1.47,279.5842102,59.2538819,519.452,8.770001,2018-01-25
HD 240210 b,HD 240210,1,1,Radial Velocity,2009,McDonald Observatory,501.75,1.16,,,1655.82,,K3 III,4297,,0.82,347.6219227,57.0294818,372.405,8.270001,2014-11-19
HD 240237 b,HD 240237,1,1,Radial Velocity,2011,McDonald Observatory,745.7,1.9,,,1684.4,,K2 III,4361,32,1.69,348.9259334,58.0432233,933.377,8.19,2014-11-19
HD 240237 b,HD 240237,1,1,Radial Velocity,2011,McDonald Observatory,745.70001,1.92,,,5050.3187,,,3926,71.23,8.76,348.9259334,58.0432233,933.377,8.19,2018-09-06
HD 24040 b,HD 24040,1,2,Radial Velocity,2006,W. M. Keck Observatory,3498,,,,1296.7464,,,,,1.18,57.5962104,17.4752873,46.6224,7.515,2018-11-29
HD 24040 b,HD 24040,1,2,Radial Velocity,2006,W. M. Keck Observatory,3668,4.92,,,1226.8238,,,5802,1.3,1.11,57.5962104,17.4752873,46.6224,7.515,2018-09-06
HD 24040 b,HD 24040,1,2,Radial Velocity,2006,W. M. Keck Observatory,3668,4.92,,,1274.44,,,,,1.18,57.5962104,17.4752873,46.6224,7.515,2014-05-14
HD 24040 b,HD 24040,1,2,Radial Velocity,2006,W. M. Keck Observatory,3552,4.708,,,1287.20504835,,,5776.49,1.387296,1.10394,57.5962104,17.4752873,46.6224,7.515,2021-09-20
HD 24040 b,HD 24040,1,2,Radial Velocity,2006,W. M. Keck Observatory,3490,4.637,,,1303.05,,,5761,1.37879,1.03,57.5962104,17.4752873,46.6224,7.515,2015-01-28
HD 24040 c,HD 24040,1,2,Radial Velocity,2021,Multiple Observatories,515.4,1.3,,,63.88350981,,,5776.49,1.387296,1.10394,57.5962104,17.4752873,46.6224,7.515,2021-09-20
HD 24064 b,HD 24064,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,535.6,1.29,,,2987.602,,K0,4052.5,38,1,59.1510071,74.0800789,300.247,6.74616,2015-10-15
HD 24064 b,HD 24064,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,535.59998,1.29,,,4096.8287,,,4052,40,1.61,59.1510071,74.0800789,300.247,6.74616,2018-09-06
HD 24085 b,HD 24085,1,1,Radial Velocity,2019,Las Campanas Observatory,2.0455,0.034,,,11.8,,G0 V,6034,,1.22,56.2563447,-70.0245193,54.9004,7.57,2019-05-23
HD 25015 b,HD 25015,1,1,Radial Velocity,2019,La Silla Observatory,6019.32,6.19,,,1423.8784,,K1 V,5160,0.83,0.86,59.4335463,-20.2673347,37.433,8.87,2019-04-11
HD 25015 b,HD 25015,1,1,Radial Velocity,2019,La Silla Observatory,6134.427,6.248,,,2884.92845034,,,,,0.86,59.4335463,-20.2673347,37.433,8.87,2023-06-12
HD 25015 b,HD 25015,1,1,Radial Velocity,2019,La Silla Observatory,6360,6.45,,,2993.94359394,,K2 V,5160,,0.86,59.4335463,-20.2673347,37.433,8.87,2023-06-12
HD 25171 b,HD 25171,2,1,Radial Velocity,2010,La Silla Observatory,1802.29,2.971,,,290.81445,,,6125,1.23,1.076,58.9574779,-65.1863239,55.6146,7.77,2019-06-27
HD 25171 b,HD 25171,2,1,Radial Velocity,2010,La Silla Observatory,1845,3.02,,,301.926,,F8 V,6160,1.18,1.09,58.9574779,-65.1863239,55.6146,7.77,2019-01-31
HD 25463 b,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),7.04916084122,,2.84649412,0.25394763,,1199.74,,6337.87,1.42717,,60.7483361,9.2077676,45.6181,6.91134,2024-12-10
HD 25463 b,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),7.049144,0.076,2.62,0.23374115,8.5,1290,,6220,1.41,1.19,60.7483361,9.2077676,45.6181,6.91134,2024-07-12
HD 25463 b,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),7.0491423,0.076,2.54535814,0.22708203,8.7,1198.46,,6353,1.4182,1.251,60.7483361,9.2077676,45.6181,6.91134,2024-07-23
HD 25463 c,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),3.04405,0.0443,1.36354953,0.12164795,4.3,1585.57,,6353,1.4182,1.251,60.7483361,9.2077676,45.6181,6.91134,2024-07-23
HD 25463 c,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),3.04404408205,,1.33374248,0.11898874,,1587.27,,6337.87,1.42717,,60.7483361,9.2077676,45.6181,6.91134,2024-11-20
HD 25463 c,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),3.04405,0.0435,1.5,0.13382127,4.1,1707,,6220,1.41,1.19,60.7483361,9.2077676,45.6181,6.91134,2024-07-12
HD 25723 b,HD 25723,1,1,Radial Velocity,2020,Lick Observatory,457.01,1.49,,,794.5710175,,K1 III,4766,13.76,2.12,61.0947182,-12.7922241,114.816,5.60075,2021-10-25
HD 25912 b,HD 25912,1,2,Radial Velocity,2022,Multiple Observatories,41.83156,0.242,,,38.13940884,,,,,1.08,60.9074988,-51.9315058,49.1661,8.2,2023-06-14
HD 25912 c,HD 25912,1,2,Radial Velocity,2022,Multiple Observatories,26308.65619,17.848,,,5252.75008249,,,,,1.08,60.9074988,-51.9315058,49.1661,8.2,2023-06-12
HD 260655 b,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.76953,0.02933,1.24,0.11062558,2.14,709,M0 V,3803,0.439,0.439,99.2915429,17.5662696,10.0055,9.63,2022-06-27
HD 260655 b,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.7694936,,1.27326,0.11359284,,602,,3807,0.47,,99.2915429,17.5662696,10.0055,9.63,2024-01-05
HD 260655 c,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),5.70588,0.04749,1.533,0.13676533,3.09,557,M0 V,3803,0.439,0.439,99.2915429,17.5662696,10.0055,9.63,2022-06-27
HD 260655 c,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),5.7060868,,1.89602,0.16915187,,593,,3807,0.47,,99.2915429,17.5662696,10.0055,9.63,2024-01-05
HD 26161 b,HD 26161,1,1,Radial Velocity,2021,Multiple Observatories,10942.29013,10.087,,,9045.39646322,,,,,1.12,62.4122255,31.6524346,40.9128,6.89333,2023-06-12
HD 26161 b,HD 26161,1,1,Radial Velocity,2021,Multiple Observatories,32000,20.4,,,4290.6834945,,,6057.62,1.455981,1.132916,62.4122255,31.6524346,40.9128,6.89333,2021-09-20
HD 2638 b,HD 2638,3,1,Radial Velocity,2005,La Silla Observatory,3.4442,0.044,,,152.55,,G5,5192,,0.93,7.4990038,-5.76496,54.9621,9.44,2014-11-19
HD 2638 b,HD 2638,3,1,Radial Velocity,2005,La Silla Observatory,3.4442,0.04,,,133.4886,,,5186,0.94,0.77,7.4990038,-5.76496,54.9621,9.44,2018-09-06
HD 2638 b,HD 2638,3,1,Radial Velocity,2005,La Silla Observatory,3.458,0.044,,,158.9142035,,K1 V,,,0.92,7.4990038,-5.76496,54.9621,9.44,2022-01-10
HD 2685 b,HD 2685,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.12688,0.0568,16.14096,1.44,371.8611,2061,,6801,1.56,1.43,7.3289156,-76.304032,196.852,9.595,2019-10-24
HD 2685 b,HD 2685,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.1269047,,,,,,,6801,1.56,1.43,7.3289156,-76.304032,196.852,9.595,2022-05-03
HD 2685 b,HD 2685,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.1269046,,17.0952,1.52513422,,1715,,6888,1.59,,7.3289156,-76.304032,196.852,9.595,2023-12-04
HD 2685 b,HD 2685,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.1269052,,,,,,,6801,1.56,1.43,7.3289156,-76.304032,196.852,9.595,2024-03-04
HD 27442 b,HD 27442,2,1,Radial Velocity,2000,Anglo-Australian Telescope,415.2,1.16,,,429.0705,,,,,1.2,64.1205476,-59.3028771,18.2704,4.44,2015-04-30
HD 27442 b,HD 27442,2,1,Radial Velocity,2000,Anglo-Australian Telescope,428.1,1.271,,,495.8,,,4846,,1.23,64.1205476,-59.3028771,18.2704,4.44,2014-07-23
HD 27631 b,HD 27631,1,1,Radial Velocity,2012,La Silla Observatory,2170,3.22,,,495.81231492,,G3 IV/V,5737,,0.94,64.9392168,-41.9606604,50.2862,8.26,2023-06-12
HD 27631 b,HD 27631,1,1,Radial Velocity,2012,La Silla Observatory,2198.14,3.242,,,474.83802,,,5737,0.923,0.944,64.9392168,-41.9606604,50.2862,8.26,2019-06-27
HD 27631 b,HD 27631,1,1,Radial Velocity,2012,La Silla Observatory,2208,3.25,,,460.83,,G3 IV-V,5737,1,0.94,64.9392168,-41.9606604,50.2862,8.26,2014-05-14
HD 27894 b,HD 27894,1,3,Radial Velocity,2005,La Silla Observatory,18.01939,0.125,,,196.73578393,,,,,0.81,65.1975693,-59.4096776,43.8214,9.36,2023-06-14
HD 27894 b,HD 27894,1,3,Radial Velocity,2005,La Silla Observatory,18.02,0.125,,,211.35695,,K2 V,,,0.8,65.1975693,-59.4096776,43.8214,9.36,2017-06-15
HD 27894 b,HD 27894,1,3,Radial Velocity,2005,La Silla Observatory,17.991,0.122,,,197.05,,K2 V,4875,,0.8,65.1975693,-59.4096776,43.8214,9.36,2014-11-19
HD 27894 b,HD 27894,1,3,Radial Velocity,2005,La Silla Observatory,17.9904,0.125,,,205,,,,,,65.1975693,-59.4096776,43.8214,9.36,2015-04-16
HD 27894 c,HD 27894,1,3,Radial Velocity,2017,La Silla Observatory,36.07,0.198,,,51.48846,,K2 V,,,0.8,65.1975693,-59.4096776,43.8214,9.36,2017-06-15
HD 27894 d,HD 27894,1,3,Radial Velocity,2017,La Silla Observatory,5019.54244,5.362,,,2063.65984665,,,,,0.81,65.1975693,-59.4096776,43.8214,9.36,2023-06-12
HD 27894 d,HD 27894,1,3,Radial Velocity,2017,La Silla Observatory,5174,5.448,,,1721.04945,,K2 V,,,0.8,65.1975693,-59.4096776,43.8214,9.36,2017-06-15
HD 27969 b,HD 27969,1,1,Radial Velocity,2021,Haute-Provence Observatory,654.5,1.552,,,1525.5763536,261,G0 V,5966,1.27,1.16,66.7068364,42.90872,67.9328,7.66,2021-07-26
HD 28109 b,HD 28109,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),22.8909855,,2.55946293,0.22834038,,803.99,,6321,1.41189,,65.2383065,-68.1026875,139.611,9.42,2023-12-04
HD 28109 b,HD 28109,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),22.89104,0.1357,2.199,0.19618198,18.496,881.2,F8/G0 V,6120,1.446,1.26,65.2383065,-68.1026875,139.611,9.42,2022-06-08
HD 28109 c,HD 28109,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),56.00450564844,,4.60744436,0.41104936,,596.67,,6321,1.41189,,65.2383065,-68.1026875,139.611,9.42,2023-12-04
HD 28109 c,HD 28109,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),56.00819,0.308,4.23,0.37737597,7.943,585.2,F8/G0 V,6120,1.446,1.26,65.2383065,-68.1026875,139.611,9.42,2022-06-08
HD 28109 d,HD 28109,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),84.25999,0.411,3.25,0.28994608,5.681,506.5,F8/G0 V,6120,1.446,1.26,65.2383065,-68.1026875,139.611,9.42,2022-06-08
HD 28109 d,HD 28109,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),84.26076445013,,3.43591025,0.30653191,,520.71,,6321,1.41189,,65.2383065,-68.1026875,139.611,9.42,2024-02-16
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,La Silla Observatory,385.54,1.044,,,1919.68357828,,,5622,1.076441,1.023031,66.6100461,-10.5510754,39.3809,7.8,2021-09-20
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,La Silla Observatory,379,1.1,,,2129.461,,G0 V,,,1.24,66.6100461,-10.5510754,39.3809,7.8,2016-02-04
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,La Silla Observatory,379,1.02,,,1875.197,,,5662,1.03,1.02,66.6100461,-10.5510754,39.3809,7.8,2018-09-06
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,La Silla Observatory,385.52775,1.035,,,1855.16441166,,,,,0.99,66.6100461,-10.5510754,39.3809,7.8,2023-06-14
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,La Silla Observatory,385.9,1.032,,,1776.59,,G5,5546,,0.98,66.6100461,-10.5510754,39.3809,7.8,2014-05-14
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,La Silla Observatory,383,1.03,,,1811.631,,,5705,,0.99,66.6100461,-10.5510754,39.3809,7.8,2015-04-30
HD 28185 c,HD 28185,1,2,Radial Velocity,2022,Multiple Observatories,17417.92079,13.176,,,6241.83208507,,,,,0.99,66.6100461,-10.5510754,39.3809,7.8,2023-06-12
HD 28192 b,HD 28192,1,1,Radial Velocity,2022,Multiple Observatories,14.23283,0.118,,,99.7981198,,,,,1.08,66.7032517,-1.7244842,49.8063,8.06,2023-06-14
HD 28254 b,HD 28254,2,1,Radial Velocity,2010,La Silla Observatory,1116,2.15,,,368.67,,G1 IV/V,5664,1.48,1.06,66.2108141,-50.6228081,55.2884,7.69,2014-11-19
HD 28254 b,HD 28254,2,1,Radial Velocity,2010,La Silla Observatory,1333,2.45,,,1207.7479466,,G5 V,,,1.1,66.2108141,-50.6228081,55.2884,7.69,2023-09-05
HD 284149 AB b,HD 284149 A,2,1,Imaging,2017,Paranal Observatory,,,,,8981.83078182,2502,,,,,61.6616887,20.3030344,117.807,9.57,2024-06-10
HD 284149 AB b,HD 284149 A,2,1,Imaging,2017,Paranal Observatory,,431.16,,,8352.53053596,2395,,6035,1.36,,61.6616887,20.3030344,117.807,9.57,2024-06-11
HD 285507 b,HD 285507,1,1,Radial Velocity,2013,Fred Lawrence Whipple Observatory,6.0881,0.06,,,311.4734,,,4503,0.69,0.82,61.755663,15.3349441,45.0293,10.49,2018-09-06
HD 285507 b,HD 285507,1,1,Radial Velocity,2013,Fred Lawrence Whipple Observatory,6.0881,,,,291.438,,K4.5 V,4503,0.656,0.734,61.755663,15.3349441,45.0293,10.49,2014-05-14
HD 285968 b,HD 285968,1,1,Radial Velocity,2008,La Silla Observatory,8.7752,0.06649,,,9.0581096,,,3703.49,0.478214,0.509289,70.7353853,18.953358,9.47045,9.95,2021-09-20
HD 285968 b,HD 285968,1,1,Radial Velocity,2008,La Silla Observatory,8.7836,0.066,,,8.4,450,M2 V,,,0.5,70.7353853,18.953358,9.47045,9.95,2014-11-19
HD 285968 b,HD 285968,1,1,Radial Velocity,2008,La Silla Observatory,8.776,0.066,,,9.06,,,3543,0.486907,0.484967,70.7353853,18.953358,9.47045,9.95,2017-10-19
HD 28678 b,HD 28678,1,1,Radial Velocity,2011,W. M. Keck Observatory,387.10001,1.32,,,810.4665,,,4722,6.98,3.16,67.8560643,4.5752495,189.908,8.38,2018-09-06
HD 28678 b,HD 28678,1,1,Radial Velocity,2011,W. M. Keck Observatory,387.1,1.25,,,540.3,,,5076,6.2,1.74,67.8560643,4.5752495,189.908,8.38,2014-05-14
HD 28678 b,HD 28678,1,1,Radial Velocity,2011,W. M. Keck Observatory,380.2,1.18,,,490.09386,,,4972,6.48,1.53,67.8560643,4.5752495,189.908,8.38,2018-12-06
HD 29021 b,HD 29021,1,1,Radial Velocity,2017,Haute-Provence Observatory,1365,2.294,,,1420.69297929,,G5,,,0.86,69.4681379,60.6762985,30.9939,7.76,2022-06-27
HD 29021 b,HD 29021,1,1,Radial Velocity,2017,Haute-Provence Observatory,1362.3,2.28,,,762.792,,G5,5560,0.85,0.85,69.4681379,60.6762985,30.9939,7.76,2017-03-02
HD 290327 b,HD 290327,1,1,Radial Velocity,2009,La Silla Observatory,2443,3.43,,,772.3269,,,5505,0.95,0.84,80.8399887,-2.2780391,56.433,8.99,2018-09-06
HD 290327 b,HD 290327,1,1,Radial Velocity,2009,La Silla Observatory,2443,3.43,,,807.25,,G8 V,5552,1,0.9,80.8399887,-2.2780391,56.433,8.99,2014-11-19
HD 29399 b,HD 29399,1,1,Radial Velocity,2022,La Silla Observatory,892.7,1.913,,,498.99059899,,K1 III,4845,4.5,1.17,68.3903471,-62.8237576,44.1518,5.79,2021-11-18
HD 29399 b,HD 29399,1,1,Radial Velocity,2022,La Silla Observatory,,2.012,,,551.8,,,4845,4.845,1.361,68.3903471,-62.8237576,44.1518,5.79,2024-09-13
HD 2952 b,HD 2952,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,311.6,1.2,,,508.5,,K0 III,4844,12.02,2.54,8.2938367,54.8948177,110.103,5.9258,2014-05-14
HD 2952 b,HD 2952,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,312.08,1.117,,,284.77425267,,K0 III,4853,10.9,1.91,8.2938367,54.8948177,110.103,5.9258,2023-09-19
HD 2952 b,HD 2952,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,311.60001,1.23,,,435.4271,,,4844,10.76,1.97,8.2938367,54.8948177,110.103,5.9258,2018-09-06
HD 29985 b,HD 29985,1,1,Radial Velocity,2022,Multiple Observatories,20608.14049,13.39,,,1739.47487151,,,,,0.75,70.5216589,-33.9210696,31.2707,9.98,2023-06-12
HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,1620,2.6,,,2447.291,,,,,0.95,70.4770964,-58.0208085,55.5867,8.41,2015-04-24
HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,2770,3.95,,,3321.2,,,5545.71,1.19258,0.98,70.4770964,-58.0208085,55.5867,8.41,2014-07-23
HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,2524.4,3.58,,,2568.0664,,,5580,,0.988,70.4770964,-58.0208085,55.5867,8.41,2016-12-21
HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,2770,3.81,,,3006.6718,,,5556,1.13,0.93,70.4770964,-58.0208085,55.5867,8.41,2018-09-06
HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,2514.53422,3.604,,,2670.71210402,,,,,0.98,70.4770964,-58.0208085,55.5867,8.41,2023-06-12
HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,2527.83,3.704,,,2740.33026,,,5607,1.019,1.053,70.4770964,-58.0208085,55.5867,8.41,2019-06-27
HD 30177 c,HD 30177,1,2,Radial Velocity,2016,Multiple Observatories,11613,9.89,,,2415.508,,,5580,,0.988,70.4770964,-58.0208085,55.5867,8.41,2016-12-21
HD 30177 c,HD 30177,1,2,Radial Velocity,2016,Multiple Observatories,12085.45186,10.258,,,1954.64470305,,,,,0.98,70.4770964,-58.0208085,55.5867,8.41,2023-06-12
HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Lick Observatory,1153,2.299,,,467.20775829,,G2 IV,5861,,1.219,72.1529519,-5.6751152,26.1597,5.77466,2023-06-12
HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Lick Observatory,1157,2.3,,,410.0007,,,5861,1.637,1.219,72.1529519,-5.6751152,26.1597,5.77466,2015-04-24
HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Lick Observatory,1157,2.34,,,387.7526,,,5882,1.61,1.12,72.1529519,-5.6751152,26.1597,5.77466,2018-09-06
HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Lick Observatory,1159.2,2.315,,,436.362,,F8 V,5994,1.53,1.23,72.1529519,-5.6751152,26.1597,5.77466,2014-05-14
HD 30669 b,HD 30669,1,1,Radial Velocity,2014,La Silla Observatory,1684,2.69,,,149.37,,G9 V,5400,0.91,0.92,72.1198522,-28.4190757,58.0844,9.12,2015-01-08
HD 30856 b,HD 30856,2,1,Radial Velocity,2011,W. M. Keck Observatory,912,1.8,,,572.1,,,4982,4.2,1.35,72.5745099,-24.3689282,131.199,7.91,2014-05-14
HD 30856 b,HD 30856,2,1,Radial Velocity,2011,W. M. Keck Observatory,912,2.04,,,670.6213,,,4971,4.73,1.65,72.5745099,-24.3689282,131.199,7.91,2018-09-06
HD 30856 b,HD 30856,2,1,Radial Velocity,2011,W. M. Keck Observatory,847,1.85,,,491.68301,,,4895,4.4,1.17,72.5745099,-24.3689282,131.199,7.91,2018-12-06
HD 31253 b,HD 31253,1,1,Radial Velocity,2010,W. M. Keck Observatory,468.7,1.295,,,141.75146952,,,6014.94,1.8288,1.325015,73.6822877,12.3520103,58.1438,7.13266,2021-09-20
HD 31253 b,HD 31253,1,1,Radial Velocity,2010,W. M. Keck Observatory,466,1.26,,,158.908,,,5960,1.71,1.23,73.6822877,12.3520103,58.1438,7.13266,2019-01-31
HD 31253 b,HD 31253,1,1,Radial Velocity,2010,W. M. Keck Observatory,466,1.26,,,197.0546,,,6130,1.75,1.7,73.6822877,12.3520103,58.1438,7.13266,2018-09-06
HD 31527 b,HD 31527,1,3,Radial Velocity,2019,La Silla Observatory,16.5535,0.1254,,,10.47,,G2 V,5898,,0.96,73.9096193,-23.2413163,38.4473,7.49,2019-02-07
HD 31527 c,HD 31527,1,3,Radial Velocity,2019,La Silla Observatory,51.2053,0.2663,,,14.16,,G2 V,5898,,0.96,73.9096193,-23.2413163,38.4473,7.49,2019-02-07
HD 31527 d,HD 31527,1,3,Radial Velocity,2019,La Silla Observatory,271.6737,0.8098,,,11.82,,G2 V,5898,,0.96,73.9096193,-23.2413163,38.4473,7.49,2019-02-07
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959641,0.01815,1.7,0.15166384,5.02,,K0 V,5261,0.86,0.86,8.7401487,4.3807215,47.2899,8.97,2017-06-08
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959628,,1.557,0.13890624,,1860,,5370,0.828,0.883,8.7401487,4.3807215,47.2899,8.97,2016-09-08
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.95965428,0.01802,1.627,0.14515147,4.73,1777,,5300,0.871,0.852,8.7401487,4.3807215,47.2899,8.97,2022-10-18
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959632,0.01752,1.574,0.14042312,5.69,1759,,5286,0.835,0.877,8.7401487,4.3807215,47.2899,8.97,2021-07-12
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959628,,1.8,0.16,,,,,0.88,,8.7401487,4.3807215,47.2899,8.97,2017-12-14
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959641,0.01796,1.67,0.14898768,4.97,1774,,5261,0.88,0.837,8.7401487,4.3807215,47.2899,8.97,2023-04-17
HD 3167 b,HD 3167,1,4,Transit,2016,K2,,,,,,,,,,,8.7401487,4.3807215,47.2899,8.97,2025-05-01
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959622,,1.6,0.14274268,,,,5438,0.83,,8.7401487,4.3807215,47.2899,8.97,2022-03-28
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959624,0.0186,1.7,0.15166384,,1669,,5528,0.87,0.94,8.7401487,4.3807215,47.2899,8.97,2018-10-26
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.96,,1.626,0.145062,5.59,,,5261,0.88,0.837,8.7401487,4.3807215,47.2899,8.97,2019-08-29
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0.959665,,1.62377492,0.1448635,,,,5366,0.836616,0.89032,8.7401487,4.3807215,47.2899,8.97,2018-02-15
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.84622,0.1806,2.74,0.24444685,8.33,548,,5286,0.835,0.877,8.7401487,4.3807215,47.2899,8.97,2021-07-12
HD 3167 c,HD 3167,1,4,Transit,2016,K2,,,,,,,,,,,8.7401487,4.3807215,47.2899,8.97,2025-05-01
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.839835,,3,0.27,,,,,0.88,,8.7401487,4.3807215,47.2899,8.97,2017-12-14
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.844982,,2.83066164,0.25253472,,,,5366,0.836616,0.89032,8.7401487,4.3807215,47.2899,8.97,2018-02-15
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.83832,0.1841,2.86,0.25515211,,531,,5528,0.87,0.94,8.7401487,4.3807215,47.2899,8.97,2018-10-26
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.8464948,0.1783,2.923,0.26077304,10.67,565,,5300,0.871,0.852,8.7401487,4.3807215,47.2899,8.97,2022-10-18
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.8454,0.1795,3.01,0.26853421,9.8,,K0 V,5261,0.86,0.86,8.7401487,4.3807215,47.2899,8.97,2017-06-08
HD 3167 c,HD 3167,1,4,Transit,2016,K2,,,,,,,,,,,8.7401487,4.3807215,47.2899,8.97,2023-11-28
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.875221,,2.3,0.20519261,,,,5438,0.83,,8.7401487,4.3807215,47.2899,8.97,2022-03-28
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.8454,,2.85,0.25425997,,500,,5370,0.828,0.883,8.7401487,4.3807215,47.2899,8.97,2016-09-08
HD 3167 c,HD 3167,1,4,Transit,2016,K2,29.8454,0.1776,3,0.26764253,11.13,564,,5261,0.88,0.837,8.7401487,4.3807215,47.2899,8.97,2023-04-17
HD 3167 d,HD 3167,1,4,Radial Velocity,2017,Multiple Observatories,8.4783,0.07703,,,5.03,859.5,,5300,0.871,0.852,8.7401487,4.3807215,47.2899,8.97,2022-10-18
HD 3167 d,HD 3167,1,4,Radial Velocity,2017,Multiple Observatories,8.4112,0.0763,,,4.33,,,5261,0.88,0.837,8.7401487,4.3807215,47.2899,8.97,2023-04-17
